
[00:00:00.000 --> 00:00:05.000]   Começamos. Sejam muito bem-vindas
[00:23:16.760 --> 00:23:18.840]   individual, todas têm agente de
[00:23:18.840 --> 00:23:21.380]   IA, existe por que? Para validar
[00:23:21.380 --> 00:23:23.240]   com pessoas ao seu lado, porque
[00:23:23.240 --> 00:23:25.510]   apesar desses agentes serem os
[00:23:25.510 --> 00:23:27.460]   mesmos, todas as vezes a gente
[00:23:27.460 --> 00:23:29.570]   tem alguém de, tá certo mesmo?
[00:23:29.570 --> 00:23:30.650]   Você concorda com a resposta do
[00:23:30.650 --> 00:23:32.330]   agente? Ele montou essa persona,
[00:23:32.330 --> 00:23:33.280]   o que você acha?
[00:23:33.280 --> 00:23:35.300]   Para onde eu vejo? Porque como
[00:23:35.300 --> 00:23:37.210]   eu tenho mais vivência de método,
[00:23:37.210 --> 00:23:38.650]   você vai ter uma visão da Carol
[00:23:38.650 --> 00:23:40.390]   sobre o seu resultado com o agente,
[00:23:40.390 --> 00:23:42.320]   senão você vai fazer sozinha.
[00:23:42.320 --> 00:23:43.880]   Para quem? Para quem trava,
[00:23:43.880 --> 00:23:45.570]   para quem não tem certeza, para
[00:23:45.570 --> 00:23:47.140]   pessoas inseguras, para quem
[00:23:47.140 --> 00:23:48.520]   quer que eu valido, porque
[00:23:48.520 --> 00:23:49.840]   antes de você ir para a sua
[00:23:49.840 --> 00:23:52.240]   primeira venda, eu faço validação.
[00:23:52.240 --> 00:23:53.960]   E a minha validação, eu falo
[00:23:53.960 --> 00:23:56.360]   validação, mas não é a validação,
[00:23:56.360 --> 00:23:58.170]   eu faço aprovação, porque a
[00:23:58.170 --> 00:23:59.990]   única forma de você validar é
[00:23:59.990 --> 00:24:01.870]   pessoas pagando e eu não pedindo
[00:24:01.870 --> 00:24:03.860]   para os meus alunos, eu falo,
[00:24:03.860 --> 00:24:05.310]   tá coerente, tá aprovado, vai
[00:24:05.310 --> 00:24:06.900]   para o campo, e aí um cliente
[00:24:06.900 --> 00:24:08.370]   real tem que validar, só o
[00:24:08.370 --> 00:24:10.350]   mercado valida, não acredite em
[00:24:10.350 --> 00:24:12.060]   nada, uma IA nenhuma vai validar
[00:24:12.060 --> 00:24:13.870]   o seu produto, só o mercado vai
[00:24:13.870 --> 00:24:14.480]   validar.
[00:24:14.480 --> 00:24:16.010]   E o que faço também dentro da
[00:24:16.010 --> 00:24:17.640]   mentoria, é olhar para as suas
[00:24:17.640 --> 00:24:19.580]   sessões que você fez, falar, oh,
[00:24:19.580 --> 00:24:21.260]   aqui errou aqui, faltou aqui,
[00:24:21.260 --> 00:24:23.000]   que tal fazer isso? A gente vai
[00:24:23.000 --> 00:24:24.570]   melhorando juntos esse momento
[00:24:24.570 --> 00:24:26.240]   de validação secreta dela.
[00:24:26.240 --> 00:24:27.900]   E aí ela chega na primeira venda
[00:24:27.900 --> 00:24:29.310]   em quatro meses, e o resto a
[00:24:29.310 --> 00:24:30.970]   gente trabalha depois que você
[00:24:30.970 --> 00:24:32.600]   validou, aí a gente trabalha
[00:24:32.600 --> 00:24:34.700]   escala, novas criações de produtos,
[00:24:34.700 --> 00:24:36.690]   novos funícios, mas a minha
[00:24:36.690 --> 00:24:38.880]   promessa é a validação.
[00:24:38.880 --> 00:24:40.780]   Ou seja, essa pessoa segue o roteiro
[00:24:40.780 --> 00:24:42.530]   certinho, dentro da mentoria,
[00:24:42.530 --> 00:24:44.090]   em quatro meses ela alcançou o
[00:24:44.090 --> 00:24:46.290]   resultado do método, a continuação
[00:24:46.290 --> 00:24:46.720]   é o quê?
[00:24:46.720 --> 00:24:48.520]   Se posicionar, criar conteúdo,
[00:24:48.520 --> 00:24:50.130]   escalar, ganhar audiência,
[00:24:50.130 --> 00:24:51.820]   outros funícios, aí é ganhar
[00:24:51.820 --> 00:24:53.500]   dinheiro de verdade, eu não
[00:24:53.500 --> 00:24:54.920]   prometo o ganho de dinheiro de
[00:24:54.920 --> 00:24:56.540]   verdade, mas eu entrego o ganho
[00:24:56.540 --> 00:24:57.990]   de dinheiro de verdade depois
[00:24:57.990 --> 00:24:58.800]   que ser valida.
[00:24:58.800 --> 00:25:00.000]   Mas a minha preocupação com a
[00:25:00.000 --> 00:25:01.440]   persona hoje aqui ó, vou
[00:25:01.440 --> 00:25:02.730]   começar, não adianta falar em
[00:25:02.730 --> 00:25:04.480]   milhões ou em centenas de milhar
[00:25:04.480 --> 00:25:05.380]   se vocês não fizeram o primeiro
[00:25:05.380 --> 00:25:06.950]   um real, a primeira venda com
[00:25:06.950 --> 00:25:08.880]   produto com método estruturado,
[00:25:08.880 --> 00:25:09.040]   entendeu?

[00:25:00.000 --> 00:25:01.410]   a minha persona hoje, aqui ó,
[00:25:01.410 --> 00:25:02.740]   vou começar. Não adianta falar
[00:25:02.740 --> 00:25:04.680]   em milhões ou centenas de milhar
[00:25:04.680 --> 00:25:05.780]   se vocês não fizeram o primeiro
[00:25:05.780 --> 00:25:07.280]   um real, a primeira venda com
[00:25:07.280 --> 00:25:08.500]   produto com método estruturado,
[00:25:08.500 --> 00:25:09.000]   entendeu?
[00:25:09.000 --> 00:25:10.670]   Então a nossa comunicação, eu
[00:25:10.670 --> 00:25:12.270]   enxugo a comunicação mesmo que
[00:25:12.270 --> 00:25:13.790]   eu entregue mais, mas o meu foco
[00:25:13.790 --> 00:25:15.000]   não é essa persona.
[00:25:15.000 --> 00:25:16.840]   E a diferença entre mentoria em
[00:25:16.840 --> 00:25:18.880]   grupo para individual tá dentro
[00:25:18.880 --> 00:25:20.420]   da minha persona. A minha
[00:25:20.420 --> 00:25:22.240]   persona do individual, ela é
[00:25:22.240 --> 00:25:24.000]   uma pessoa mais reservada.
[00:25:24.000 --> 00:25:25.690]   No geral ela tem mais, ela é
[00:25:25.690 --> 00:25:27.930]   mais velha, tem acima de 50,
[00:25:27.930 --> 00:25:29.500]   ela já tem mais autoridade no
[00:25:29.500 --> 00:25:31.440]   off, ou seja, ela tem mais
[00:25:31.440 --> 00:25:33.000]   resistência em se expor.
[00:25:33.000 --> 00:25:34.520]   E ela não quer ser amadora nem
[00:25:34.520 --> 00:25:35.990]   no grupo de alunos, ela não
[00:25:35.990 --> 00:25:37.660]   quer participar de grupo, não
[00:25:37.660 --> 00:25:39.250]   quer, ela quer só resolver os
[00:25:39.250 --> 00:25:40.000]   BO dela aqui.
[00:25:40.000 --> 00:25:41.940]   E aí eu criei outra muito parecida
[00:25:41.940 --> 00:25:43.930]   para mentoria individual, para
[00:25:43.930 --> 00:25:45.660]   essa persona, que é o sprint do
[00:25:45.660 --> 00:25:47.140]   método que eu faço para a
[00:25:47.140 --> 00:25:48.000]   pessoa.
[00:25:48.000 --> 00:25:49.690]   Então as pessoas que não têm
[00:25:49.690 --> 00:25:51.840]   tempo, não têm prioridade, não
[00:25:51.840 --> 00:25:53.850]   querem aprender método, não querem
[00:25:53.850 --> 00:25:55.550]   nada da base de conhecimento de
[00:25:55.550 --> 00:25:57.000]   perso, não quer nada.
[00:25:57.000 --> 00:25:58.170]   Ela quer o produto dela porque
[00:25:58.170 --> 00:25:59.700]   ela sabe ensinar. Eu sou dentista,
[00:25:59.700 --> 00:26:00.960]   eu quero ensinar a tirar dente,
[00:26:00.960 --> 00:26:02.000]   é isso que eu quero.
[00:26:02.000 --> 00:26:03.160]   Carol, eu não quero aprender
[00:26:03.160 --> 00:26:04.600]   como fazer método, eu quero ensinar
[00:26:04.600 --> 00:26:05.000]   dente.
[00:26:05.000 --> 00:26:07.600]   Então eu faço para a pessoa
[00:26:07.600 --> 00:26:09.820]   toda a metodologia, toda a
[00:26:09.820 --> 00:26:13.020]   persona, a promessa, a estrutura
[00:26:13.020 --> 00:26:15.420]   da mentoria dela ou do curso
[00:26:15.420 --> 00:26:16.000]   online.
[00:26:16.000 --> 00:26:17.370]   E ela só vai se encontrando
[00:26:17.370 --> 00:26:19.000]   comigo a cada semana validando.
[00:26:19.000 --> 00:26:21.640]   Ok, ok, ok. Então em cinco
[00:26:21.640 --> 00:26:23.000]   semanas eu construo a estrutura
[00:26:23.000 --> 00:26:24.030]   para ela ter um produto pronto,
[00:26:24.030 --> 00:26:25.000]   vai lá vender.
[00:26:25.000 --> 00:26:26.830]   Só que o sprint do método não
[00:26:26.830 --> 00:26:29.000]   tem essa parte de continuação.
[00:26:29.000 --> 00:26:30.790]   Não faço validação, não dou suporte,
[00:26:30.790 --> 00:26:32.000]   não dou acompanhamento.
[00:26:32.000 --> 00:26:33.920]   Eu emprego, eu te tomo a estrutura,
[00:26:33.920 --> 00:26:36.000]   você tem seu produto pronto, tchau,
[00:26:36.000 --> 00:26:38.000]   seja muito bem, tenha sucesso.
[00:26:38.000 --> 00:26:39.480]   Então no geral, pessoas que fecham
[00:26:39.480 --> 00:26:40.590]   essa, ao final desse produto,
[00:26:40.590 --> 00:26:41.930]   falam "tá, eu vou continuar sozinha",
[00:26:41.930 --> 00:26:43.000]   não, quero a Carol.
[00:26:43.000 --> 00:26:44.400]   E acaba entrando na mentoria,
[00:26:44.400 --> 00:26:45.810]   por quê? Porque ela quer o
[00:26:45.810 --> 00:26:47.480]   acompanhamento de "vamos testar,
[00:26:47.480 --> 00:26:48.950]   funil, tentar isso, não deu
[00:26:48.950 --> 00:26:51.000]   certo, vai, volta, vai, volta".
[00:26:51.000 --> 00:26:52.410]   Então essa aqui é para pessoas
[00:26:52.410 --> 00:26:53.940]   que não tem tempo, não tem clareza,
[00:26:53.940 --> 00:26:54.940]   tem um monte de conhecimento
[00:26:54.940 --> 00:26:56.540]   misturado e não sabe, não quer
[00:26:56.540 --> 00:26:58.660]   ficar assistindo aula, não quer
[00:26:58.660 --> 00:26:59.000]   nada.
[00:26:59.000 --> 00:27:00.470]   E aí o projeto nunca sai do
[00:27:00.470 --> 00:27:02.150]   papel e essa pessoa quer e não
[00:27:02.150 --> 00:27:04.000]   faz as coisas acontecerem.
[00:27:04.000 --> 00:27:05.890]   Então quem ela está partindo,
[00:27:05.890 --> 00:27:07.910]   ela não tem nada, mas também
[00:27:07.910 --> 00:27:09.320]   não tem tempo e nem saco para
[00:27:09.320 --> 00:27:10.000]   fazer.
[00:27:10.000 --> 00:27:11.530]   Então ela paga, eu faço e
[00:27:11.530 --> 00:27:13.480]   acabou. Ela vai com a fundação
[00:27:13.480 --> 00:27:15.320]   pronta e eu ainda entrego um agente
[00:27:15.320 --> 00:27:17.000]   de arco com base no método dela.
[00:27:17.000 --> 00:27:18.960]   Todo o método alimenta o agente
[00:27:18.960 --> 00:27:20.930]   de arco, que ela cria como se
[00:27:20.930 --> 00:27:22.000]   fosse o suporte.
[00:27:22.000 --> 00:27:23.400]   Ela não precisa mais contratar
[00:27:23.400 --> 00:27:24.970]   um suporte para dúvidas técnicas
[00:27:24.970 --> 00:27:26.680]   para o método dela, para o método
[00:27:26.680 --> 00:27:28.170]   dela já sai muito melhor que
[00:27:28.170 --> 00:27:29.000]   muitos por aí.
[00:27:29.000 --> 00:27:31.600]   Então o que eu quero que você
[00:27:31.600 --> 00:27:34.320]   responda? Estas cinco perguntas
[00:27:34.320 --> 00:27:36.780]   e se você não conseguir fazer
[00:27:36.780 --> 00:27:39.420]   isso, quer dizer que você não
[00:27:39.420 --> 00:27:42.000]   está, você não tem a clareza
[00:27:42.000 --> 00:27:44.000]   para criar esse produto.
[00:27:44.000 --> 00:27:45.850]   Ele está na sua cabeça e ele
[00:27:45.850 --> 00:27:47.930]   nunca vai sair de forma coerente
[00:27:47.930 --> 00:27:50.170]   e estruturada, enquanto você
[00:27:50.170 --> 00:27:52.250]   não definir para quem é, em que
[00:27:52.250 --> 00:27:54.090]   ponto ela está, em que ponto
[00:27:54.090 --> 00:27:56.080]   você vai, o que vai ser entregue
[00:27:56.080 --> 00:27:57.000]   a partir disso.
[00:27:57.000 --> 00:27:59.940]   Faz sentido? Então eu quero,
[00:27:59.940 --> 00:28:02.200]   vou colocar aqui um link para
[00:28:02.200 --> 00:28:04.000]   vocês preencherem.
[00:28:04.000 --> 00:28:07.930]   Link, perdi o link, vou achar o
[00:28:07.930 --> 00:28:10.170]   link aqui. É um canvas que eu
[00:28:10.170 --> 00:28:12.260]   fiz, um modelo que vocês só viram
[00:28:12.260 --> 00:28:14.000]   um modelo preenchível.
[00:28:14.000 --> 00:28:20.170]   Então vocês preenchem, pega o
[00:28:20.170 --> 00:28:26.010]   link, guarda aí, vocês fazem
[00:28:26.010 --> 00:28:33.320]   depois. Cadê o meu link? Vou
[00:28:33.320 --> 00:28:39.000]   colocar aqui no chat.
[00:28:39.000 --> 00:28:40.850]   Coloquei no chat, vocês copiam
[00:28:40.850 --> 00:28:42.530]   o modelo, preenchem, me dê a
[00:28:42.530 --> 00:28:44.500]   retorno lá no grupo. Quero ver
[00:28:44.500 --> 00:28:46.410]   vocês realmente colocando a mão
[00:28:46.410 --> 00:28:47.000]   na massa.
[00:28:47.000 --> 00:28:48.480]   Partindo de onde? Dois straight
[00:28:48.480 --> 00:28:50.050]   checks, que são essas estruturas
[00:28:50.050 --> 00:28:51.310]   que eu falei, o que tem, o que
[00:28:51.310 --> 00:28:53.240]   não tem. Sim, não, sim, não,
[00:28:53.240 --> 00:28:54.000]   sim, não.
[00:28:54.000 --> 00:28:55.350]   Onde ela chega? Chegou, não
[00:28:55.350 --> 00:28:56.940]   chegou, chegou, não chegou,
[00:28:56.940 --> 00:28:58.430]   chegou, não chegou. Eu quero
[00:28:58.430 --> 00:28:59.940]   que vocês realmente coloquem
[00:28:59.940 --> 00:29:01.000]   isso em prática.
[00:29:01.000 --> 00:29:02.550]   Me dê um retorno, se estão
[00:29:02.550 --> 00:29:04.930]   fazendo, se fizeram, se isso clareou,
[00:29:04.930 --> 00:29:06.480]   que eu tenho certeza que muitas
[00:29:06.480 --> 00:29:08.160]   vezes estão criando produtos
[00:29:08.160 --> 00:29:10.220]   aleatórios sem essa clareza de
[00:29:10.220 --> 00:29:11.000]   jornada.
[00:29:11.000 --> 00:29:12.160]   E a jornada do seu método, ele
[00:29:12.160 --> 00:29:13.600]   está aqui dentro, tá? Daqui que
[00:29:13.600 --> 00:29:15.630]   vem os módulos, quantos módulos,
[00:29:15.630 --> 00:29:18.000]   quantas alas, quantos entregáveis,
[00:29:18.000 --> 00:29:20.220]   que é de onde ela está até onde
[00:29:20.220 --> 00:29:21.000]   ela vai.
[00:29:21.000 --> 00:29:22.460]   Todo mundo fala "Como criar o
[00:29:22.460 --> 00:29:24.200]   método?" Ele fala "Ai, da onde
[00:29:24.200 --> 00:29:25.620]   está o A e o B?" Esse é o A e o
[00:29:25.620 --> 00:29:27.360]   B. Mas sem isso aqui, ó, o pra
[00:29:27.360 --> 00:29:29.090]   que é em que nível que ela está,
[00:29:29.090 --> 00:29:31.080]   seu produto vai ficar capengo,
[00:29:31.080 --> 00:29:32.000]   confie em mim.
[00:29:32.000 --> 00:29:35.060]   Então, se você vai tentar, tentou,
[00:29:35.060 --> 00:29:37.320]   não conseguir, eu quero que
[00:29:37.320 --> 00:29:39.470]   você tenha a certeza que não é
[00:29:39.470 --> 00:29:40.850]   por falta de ideia, não é por
[00:29:40.850 --> 00:29:42.660]   falta de conhecimento, é falta
[00:29:42.660 --> 00:29:44.000]   de estrutura.
[00:29:44.000 --> 00:29:46.600]   Então vocês talvez não consigam
[00:29:46.600 --> 00:29:48.950]   colocar todo esse conhecimento
[00:29:48.950 --> 00:29:51.100]   de uma forma clara. E muitas
[00:29:51.100 --> 00:29:53.250]   vezes essa falta de clareza é
[00:29:53.250 --> 00:29:55.230]   falta de definição da sua
[00:29:55.230 --> 00:29:57.000]   persona de forma mais aprofundada
[00:29:57.000 --> 00:30:00.130]   pra você enxergar esses contextos
[00:30:00.130 --> 00:30:01.000]   todos.

[00:30:00.000 --> 00:30:02.600]   e Contextos Todos. Então quanto
[00:30:02.600 --> 00:30:03.400]   melhor você for em contexto,
[00:30:03.400 --> 00:30:05.280]   mais você ganha da sua concorrência.
[00:30:05.280 --> 00:30:06.440]   Lembra que eu expliquei sobre a
[00:30:06.440 --> 00:30:08.220]   concorrência? Você não concorre
[00:30:08.220 --> 00:30:10.600]   só com o seu nicho. Você concorre
[00:30:10.600 --> 00:30:12.260]   com o único 10 mil que eu tenho
[00:30:12.260 --> 00:30:13.880]   para escolher entre todos vocês
[00:30:13.880 --> 00:30:15.230]   que tem o produto do mesmo
[00:30:15.230 --> 00:30:15.400]   valor.
[00:30:15.400 --> 00:30:16.980]   Então se eu só tenho um 10 mil
[00:30:16.980 --> 00:30:18.170]   para gastar e cada um tem um
[00:30:18.170 --> 00:30:20.480]   produto de 10 mil aqui e tem a
[00:30:20.480 --> 00:30:21.000]   Karol como
[00:30:21.000 --> 00:30:23.120]   persona, quem vai ganhar Karol?
[00:30:23.120 --> 00:30:24.930]   Quem entender mais do meu
[00:30:24.930 --> 00:30:26.680]   contexto e falar é mais fácil,
[00:30:26.680 --> 00:30:27.400]   é mais rápido,
[00:30:27.400 --> 00:30:30.000]   é mais simples? Eu criei especificamente
[00:30:30.000 --> 00:30:31.600]   para você ferramentas que cabem
[00:30:31.600 --> 00:30:32.920]   no seu dia a dia, que
[00:30:32.920 --> 00:30:35.010]   facilitam o seu dia a dia. Aí
[00:30:35.010 --> 00:30:36.950]   sim isso vai fazendo sentido
[00:30:36.950 --> 00:30:38.670]   para as pessoas e aí eu te
[00:30:38.670 --> 00:30:39.960]   escolho, tá bom?
[00:30:39.960 --> 00:30:41.520]   Então se você não conseguiu
[00:30:41.520 --> 00:30:43.360]   responder, não tem cloreza, não
[00:30:43.360 --> 00:30:45.050]   tem tempo, não tem saco. Eu
[00:30:45.050 --> 00:30:45.600]   tenho
[00:30:45.600 --> 00:30:47.500]   certeza que o sprint do método
[00:30:47.500 --> 00:30:49.530]   é a sua melhor saída, melhor
[00:30:49.530 --> 00:30:51.240]   solução no momento que eu vou
[00:30:51.240 --> 00:30:52.650]   construir para você, sua
[00:30:52.650 --> 00:30:54.240]   persona, sua promessa, o seu
[00:30:54.240 --> 00:30:56.700]   meta, seu hipoproduto, os roteiros
[00:30:56.700 --> 00:30:57.120]   do que
[00:30:57.120 --> 00:30:58.700]   você vai fazer, se vai ser uma
[00:30:58.700 --> 00:31:00.500]   mentoria, o roteiro da mentoria,
[00:31:00.500 --> 00:31:02.520]   estrutura da mentoria, quais
[00:31:02.520 --> 00:31:02.920]   são
[00:31:02.920 --> 00:31:04.470]   todas as ferramentas que você
[00:31:04.470 --> 00:31:06.110]   vai usar da mentoria, você sai
[00:31:06.110 --> 00:31:07.920]   com a sua oferta linda e pronta.
[00:31:07.920 --> 00:31:08.800]   E ainda
[00:31:08.800 --> 00:31:10.450]   eu te dou até o roteiro de como
[00:31:10.450 --> 00:31:12.110]   fazer as suas vendas secretas
[00:31:12.110 --> 00:31:14.120]   para você validar. A gente só
[00:31:14.120 --> 00:31:14.300]   vai se
[00:31:14.300 --> 00:31:15.550]   encontrando toda semana e você
[00:31:15.550 --> 00:31:16.900]   vai falando Karol, tá dando
[00:31:16.900 --> 00:31:18.230]   certo, Karol, esse é o caminho,
[00:31:18.230 --> 00:31:18.600]   Karol,
[00:31:18.600 --> 00:31:20.700]   gostei, Karol, ajusta aqui. Eu
[00:31:20.700 --> 00:31:23.080]   faço para você no sprint do método.
[00:31:23.080 --> 00:31:24.680]   Então o que fica dessa live
[00:31:24.680 --> 00:31:27.170]   hoje que eu quero que você leve
[00:31:27.170 --> 00:31:29.240]   para cá? Que o infoproduto não
[00:31:29.240 --> 00:31:31.960]   nasce nem só da sua ideia e nem
[00:31:31.960 --> 00:31:33.530]   todos os seus conhecimentos,
[00:31:33.530 --> 00:31:35.890]   não é aleatório. Você precisa
[00:31:35.890 --> 00:31:37.440]   responder a essas cinco perguntas.
[00:31:37.440 --> 00:31:39.370]   O partido de chegada tem que
[00:31:39.370 --> 00:31:42.070]   ter checkpoints, objetivos. Saiu
[00:31:42.070 --> 00:31:44.280]   daqui, chegou aqui. Se não vai
[00:31:44.280 --> 00:31:45.740]   ser uma descrição vaga, você
[00:31:45.740 --> 00:31:47.220]   não vai ter prova, as pessoas
[00:31:47.220 --> 00:31:49.080]   não vão sentir a evolução do
[00:31:49.080 --> 00:31:49.320]   seu
[00:31:49.320 --> 00:31:51.870]   produto e cada oferta, cada
[00:31:51.870 --> 00:31:53.870]   produto, ele tem que ter um porquê,
[00:31:53.870 --> 00:31:56.100]   um ponto de partida ou um ponto
[00:31:56.100 --> 00:31:56.160]   de
[00:31:56.160 --> 00:31:58.060]   chegada diferente, mesmo que
[00:31:58.060 --> 00:32:00.090]   seja a mesma persona e eu prefiro
[00:32:00.090 --> 00:32:01.960]   que você trabalhe com a mesma
[00:32:01.960 --> 00:32:02.520]   persona.
[00:32:02.520 --> 00:32:04.350]   E sem um blueprint, você não
[00:32:04.350 --> 00:32:06.450]   sabe se está transformando
[00:32:06.450 --> 00:32:08.690]   alguém de verdade, dificulta
[00:32:08.690 --> 00:32:08.840]   muito
[00:32:08.840 --> 00:32:11.380]   mais as suas vendas. Se fez
[00:32:11.380 --> 00:32:12.770]   sentido para vocês, vamos
[00:32:12.770 --> 00:32:15.010]   comentar sprint, nós vamos
[00:32:15.010 --> 00:32:16.080]   conversar sobre
[00:32:16.080 --> 00:32:17.890]   essa metodologia, esse serviço
[00:32:17.890 --> 00:32:19.490]   que eu passo por vocês. Agora
[00:32:19.490 --> 00:32:21.680]   eu vou parar de compartilhar e
[00:32:21.680 --> 00:32:22.040]   abrindo
[00:32:22.040 --> 00:32:23.660]   para quem quiser conversar,
[00:32:23.660 --> 00:32:25.320]   tirar uma dúvida ou falar o que
[00:32:25.320 --> 00:32:27.120]   achou dessa aula, se aprendeu,
[00:32:27.120 --> 00:32:29.680]   se fez sentido. Alguém quer
[00:32:29.680 --> 00:32:31.750]   falar? Leandro, você que está
[00:32:31.750 --> 00:32:34.110]   inaugurando aqui hoje, a Sandra
[00:32:34.110 --> 00:32:34.840]   vem toda
[00:32:34.840 --> 00:32:36.570]   semana. E você, o que você achou
[00:32:36.570 --> 00:32:37.980]   da aula? Como que está o seu
[00:32:37.980 --> 00:32:38.880]   infoproduto?
[00:32:38.880 --> 00:32:42.810]   Então, então eu estou construindo
[00:32:42.810 --> 00:32:45.270]   ainda dentro da metodologia,
[00:32:45.270 --> 00:32:49.560]   dentro da mentoria, as ferramentas,
[00:32:49.560 --> 00:32:51.830]   né? E aí eu estou na última ferramenta
[00:32:51.830 --> 00:32:53.490]   de metodologia entrando para
[00:32:53.490 --> 00:32:54.960]   produtos, e aí vê o que
[00:32:54.960 --> 00:32:56.770]   você falou aqui, com, sabe,
[00:32:56.770 --> 00:32:58.650]   reduzindo, às vezes a gente vai
[00:32:58.650 --> 00:33:01.320]   naquele monte de informação, de
[00:33:01.320 --> 00:33:01.600]   forma,
[00:33:01.600 --> 00:33:04.100]   você vai se perdendo e você vai
[00:33:04.100 --> 00:33:06.280]   se apaixonando pela técnica,
[00:33:06.280 --> 00:33:08.380]   pelo lado profissional e a
[00:33:08.380 --> 00:33:08.640]   pessoa
