
[00:00:00.000 --> 00:00:06.120]   Começamos! Sejam bem-vindos a
[00:21:09.450 --> 00:21:11.110]   não quer pagar muito caro,
[00:21:11.110 --> 00:21:12.320]   então ela vai pra um curso
[00:21:12.320 --> 00:21:12.660]   online,
[00:21:12.660 --> 00:21:14.740]   pra um low ticket, pra algo que
[00:21:14.740 --> 00:21:17.160]   ela se vira, ela vai até tentar
[00:21:17.160 --> 00:21:18.220]   do jeito errado,
[00:21:18.220 --> 00:21:20.860]   fazendo só pelas suas dicas de
[00:21:20.860 --> 00:21:22.720]   YouTube, de internet, ela não
[00:21:22.720 --> 00:21:25.000]   vai conseguir até ela comprar,
[00:21:25.000 --> 00:21:26.670]   mas é uma persona mais difícil
[00:21:26.670 --> 00:21:28.430]   de converter, porque ela acredita
[00:21:28.430 --> 00:21:29.760]   que ela dá conta sozinha.
[00:21:29.760 --> 00:21:30.860]   Depois que ela vê que ela não
[00:21:30.860 --> 00:21:32.080]   dá conta sozinha, ela compra o
[00:21:32.080 --> 00:21:32.760]   curso online.
[00:21:32.760 --> 00:21:33.890]   Depois que ela vê que o curso
[00:21:33.890 --> 00:21:35.440]   online ainda está com dúvida,
[00:21:35.440 --> 00:21:36.760]   ela vai querer o seu olhar.
[00:21:36.760 --> 00:21:38.640]   Muitas vezes, por exemplo, apesar
[00:21:38.640 --> 00:21:40.050]   do meu método ele ser feito
[00:21:40.050 --> 00:21:41.320]   totalmente com IAAS,
[00:21:41.320 --> 00:21:44.100]   os plantões não me substituem,
[00:21:44.100 --> 00:21:45.120]   por quê?
[00:21:45.120 --> 00:21:47.180]   Porque eu dou um olhar, eu entendo
[00:21:47.180 --> 00:21:49.160]   a narrativa, eu entendo o todo,
[00:21:49.160 --> 00:21:51.140]   mais do que os especialistas agentes,
[00:21:51.140 --> 00:21:52.760]   porque eles são especialistas
[00:21:52.760 --> 00:21:53.520]   em um ponto.
[00:21:53.520 --> 00:21:55.270]   Eu sou especialista em todos os
[00:21:55.270 --> 00:21:57.120]   pontos, então um é muito bom em
[00:21:57.120 --> 00:21:57.720]   persona,
[00:21:57.720 --> 00:21:59.280]   um é muito bom em promessa,
[00:21:59.280 --> 00:22:01.010]   talvez eles sejam melhores do
[00:22:01.010 --> 00:22:01.800]   que eu em cada P,
[00:22:01.800 --> 00:22:03.050]   só que eu sou melhor do que
[00:22:03.050 --> 00:22:04.400]   eles em todos os P juntos,
[00:22:04.400 --> 00:22:05.900]   principalmente que a gente vai
[00:22:05.900 --> 00:22:07.690]   conversando com a aluna, vai
[00:22:07.690 --> 00:22:09.960]   conhecendo então a mentoria,
[00:22:09.960 --> 00:22:11.260]   esse é um medo de muitos
[00:22:11.260 --> 00:22:13.250]   especialistas, eu não acredito
[00:22:13.250 --> 00:22:14.480]   que a IA vai te substituir,
[00:22:14.480 --> 00:22:16.800]   principalmente quando você tem
[00:22:16.800 --> 00:22:19.040]   mais repertório e você consegue
[00:22:19.040 --> 00:22:20.440]   fazer curadoria.
[00:22:20.440 --> 00:22:23.400]   Curadoria é "eu testei essa ferramenta,
[00:22:23.400 --> 00:22:24.940]   eu testei isso aqui, faz a
[00:22:24.940 --> 00:22:25.960]   gente dessa parte",
[00:22:25.960 --> 00:22:29.250]   você vai ensinando não só a teoria,
[00:22:29.250 --> 00:22:31.130]   mas qual caminho o seu aluno
[00:22:31.130 --> 00:22:32.120]   tem que trilhar,
[00:22:32.120 --> 00:22:34.060]   e isso é mentoria, isso não é
[00:22:34.060 --> 00:22:35.710]   um agente de IA que vai fazer
[00:22:35.710 --> 00:22:37.810]   por você, então não tenham esse
[00:22:37.810 --> 00:22:38.320]   medo.
[00:22:38.320 --> 00:22:39.830]   E também depois eu quero que
[00:22:39.830 --> 00:22:41.610]   vocês entendam esses momentos
[00:22:41.610 --> 00:22:43.300]   distintos que você consegue
[00:22:43.300 --> 00:22:43.720]   fazer.
[00:22:43.720 --> 00:22:45.630]   Minha humilde opinião, curso
[00:22:45.630 --> 00:22:47.610]   gravado é o último que você tem
[00:22:47.610 --> 00:22:48.400]   que fazer,
[00:22:48.400 --> 00:22:50.050]   ele é o mais trabalhoso, ele é
[00:22:50.050 --> 00:22:52.890]   cansativo, eu tô, são cinco módulos,
[00:22:52.890 --> 00:22:53.680]   eu gravei três,
[00:22:53.680 --> 00:22:55.430]   pra sair os dois últimos eu tô
[00:22:55.430 --> 00:22:57.080]   pedalando essa semana, eu ia
[00:22:57.080 --> 00:22:58.120]   gravar ontem e não gravei,
[00:22:58.120 --> 00:22:59.930]   eu ia gravar, não gravei, não
[00:22:59.930 --> 00:23:01.410]   gravei, depois de gravar tem
[00:23:01.410 --> 00:23:02.280]   que mandar pra editar,
[00:23:02.280 --> 00:23:03.780]   ou você editar que vai gastar
[00:23:03.780 --> 00:23:05.720]   tempo, então dá muito trabalho,
[00:23:05.720 --> 00:23:07.630]   então deixa por último a gravação
[00:23:07.630 --> 00:23:08.400]   de curso, tá?
[00:23:08.400 --> 00:23:10.090]   Quando você tiver certeza que o
[00:23:10.090 --> 00:23:11.690]   método é esse, que são essas
[00:23:11.690 --> 00:23:13.600]   ferramentas, que é essa a ordem,
[00:23:13.600 --> 00:23:15.920]   e aí você percebe, de acordo
[00:23:15.920 --> 00:23:18.580]   com esses momentos, quais produtos
[00:23:18.580 --> 00:23:20.440]   você consegue criar.
[00:23:20.440 --> 00:23:21.870]   Então se você tá muito no
[00:23:21.870 --> 00:23:23.940]   começo, o que eu indigo? Indigo
[00:23:23.940 --> 00:23:25.640]   você criar seu método,
[00:23:25.640 --> 00:23:28.930]   uma oferta mais completa, mais
[00:23:28.930 --> 00:23:31.400]   completa e complexa, que é o
[00:23:31.400 --> 00:23:32.480]   método completo,
[00:23:32.480 --> 00:23:36.570]   e aí você faz o quê? Você faz
[00:23:36.570 --> 00:23:38.470]   essa venda mais cara, que é
[00:23:38.470 --> 00:23:39.280]   todo o seu método,
[00:23:39.280 --> 00:23:41.260]   depois você consegue reduzir
[00:23:41.260 --> 00:23:43.380]   esse método, ou enxugar o mesmo
[00:23:43.380 --> 00:23:44.920]   método, é os cinco P's,
[00:23:44.920 --> 00:23:47.220]   de forma resumida, ou pegar os
[00:23:47.220 --> 00:23:49.060]   principais P's, em que P's, né,
[00:23:49.060 --> 00:23:51.520]   módulos, que a sua persona tem
[00:23:51.520 --> 00:23:52.040]   travas,
[00:23:52.040 --> 00:23:53.920]   e aí você entrega essa trava,
[00:23:53.920 --> 00:23:55.330]   porque às vezes a porta de
[00:23:55.330 --> 00:23:57.020]   entrada é só você destravar a
[00:23:57.020 --> 00:23:57.640]   persona,
[00:23:57.640 --> 00:24:00.370]   eu tenho plena certeza que se a
[00:24:00.370 --> 00:24:02.690]   minha, os meus alunos, meus
[00:24:02.690 --> 00:24:04.720]   leads, tiverem clareza da
[00:24:04.720 --> 00:24:05.960]   persona delas,
[00:24:05.960 --> 00:24:07.930]   o resto sai mais fácil. Elas
[00:24:07.930 --> 00:24:09.870]   não acreditam em mim, tá,
[00:24:09.870 --> 00:24:10.840]   porque todo mundo que eu converso,
[00:24:10.840 --> 00:24:12.370]   acho que sabe quem é a persona,
[00:24:12.370 --> 00:24:13.860]   mas depois que você aprofunda
[00:24:13.860 --> 00:24:14.760]   na sua persona,
[00:24:14.760 --> 00:24:16.220]   você tem clareza do método, da
[00:24:16.220 --> 00:24:17.580]   oferta, do produto, muito,
[00:24:17.580 --> 00:24:18.760]   muito, muito mais.
[00:24:18.760 --> 00:24:20.510]   Então a nossa função é ser
[00:24:20.510 --> 00:24:22.540]   especialista em persona, com a
[00:24:22.540 --> 00:24:25.880]   persona, mais o seu conhecimento,
[00:24:25.880 --> 00:24:27.940]   mais a sua vivência, tudo que
[00:24:27.940 --> 00:24:29.980]   você viveu, o método sai e os
[00:24:29.980 --> 00:24:31.760]   produtos saem, ok?
[00:24:31.760 --> 00:24:33.920]   E aí, não quero que você defina
[00:24:33.920 --> 00:24:35.960]   esse produto de forma pronta,
[00:24:35.960 --> 00:24:37.560]   eu quero que você coloque,
[00:24:37.560 --> 00:24:37.880]   assim,
[00:24:37.880 --> 00:24:40.560]   qual é o ponto que ela pode travar,
[00:24:40.560 --> 00:24:42.380]   qual é o ponto que você deixa
[00:24:42.380 --> 00:24:43.120]   de vender,
[00:24:43.120 --> 00:24:44.510]   qual é o serviço que você pode
[00:24:44.510 --> 00:24:45.900]   oferecer, que você não tinha
[00:24:45.900 --> 00:24:47.200]   pensado ainda, tá bom?
[00:24:47.200 --> 00:24:48.760]   E aí você vai perceber o quê?
[00:24:48.760 --> 00:24:50.850]   Que você não vai ter só uma
[00:24:50.850 --> 00:24:51.760]   resposta,
[00:24:51.760 --> 00:24:53.220]   cada caminho tem que ter uma
[00:24:53.220 --> 00:24:55.760]   entrega diferente, uma personalização,
[00:24:55.760 --> 00:24:57.480]   se você não estiver vendo isso,
[00:24:57.480 --> 00:24:59.180]   dizer que você não está se aprofundando
[00:24:59.180 --> 00:25:00.770]   na sua persona, você precisa
[00:25:00.770 --> 00:25:01.920]   melhorar a sua

[00:25:00.000 --> 00:25:01.420]   Apesar de você ter que melhorar
[00:25:01.420 --> 00:25:02.230]   sua persona, você precisa
[00:25:02.230 --> 00:25:03.290]   melhorar a sua persona, não é o
[00:25:03.290 --> 00:25:05.170]   caminho, porque o caminho para
[00:25:05.170 --> 00:25:07.100]   criar métodos, na minha opinião,
[00:25:07.100 --> 00:25:08.880]   no meu método, vai ser sempre
[00:25:08.880 --> 00:25:10.000]   seguir no i5PES.
[00:25:10.000 --> 00:25:12.360]   Só que as formas de entrega do
[00:25:12.360 --> 00:25:14.980]   i5PES que mudam de acordo com o
[00:25:14.980 --> 00:25:17.000]   momento da minha persona.
[00:25:17.000 --> 00:25:18.020]   Eu quero saber se vocês já
[00:25:18.020 --> 00:25:19.730]   estão observando aí, se tem um
[00:25:19.730 --> 00:25:22.180]   buraco dentro dessa metodologia
[00:25:22.180 --> 00:25:23.730]   de vocês, do que vocês estão
[00:25:23.730 --> 00:25:25.330]   pensando, dos serviços que
[00:25:25.330 --> 00:25:27.000]   vocês estão oferecendo.
[00:25:27.000 --> 00:25:28.530]   Eu podia fazer isso pela pessoa,
[00:25:28.530 --> 00:25:30.000]   eu podia entregar esse a mais,
[00:25:30.000 --> 00:25:31.500]   eu nunca fiz um diagnóstico
[00:25:31.500 --> 00:25:33.000]   antes de conversar com ela.
[00:25:33.000 --> 00:25:34.820]   Vai se identificando aí, vai
[00:25:34.820 --> 00:25:36.640]   conversando comigo para saber
[00:25:36.640 --> 00:25:38.330]   se a gente está alinhado, se
[00:25:38.330 --> 00:25:40.000]   está no caminho certo.
[00:25:40.000 --> 00:25:42.680]   E aí o que eu percebi? Que hoje
[00:25:42.680 --> 00:25:44.500]   eu tenho sete ofertas rodando
[00:25:44.500 --> 00:25:46.380]   prontas, obviamente eu não
[00:25:46.380 --> 00:25:48.880]   tenho um funil pra sete, mas a
[00:25:48.880 --> 00:25:50.540]   minha Closer vai conversando
[00:25:50.540 --> 00:25:53.000]   com cada lead, vai oferecendo
[00:25:53.000 --> 00:25:54.000]   de acordo com a necessidade,
[00:25:54.000 --> 00:25:55.270]   ou com o diagnóstico que já
[00:25:55.270 --> 00:25:56.770]   respondeu, ou com a gravação da
[00:25:56.770 --> 00:25:58.000]   sessão que eu já fiz.
[00:25:58.000 --> 00:26:00.730]   Então, quanto mais formas de
[00:26:00.730 --> 00:26:03.000]   contato você já teve com os
[00:26:03.000 --> 00:26:05.490]   leads para reativar, é melhor
[00:26:05.490 --> 00:26:06.000]   ainda.
[00:26:06.000 --> 00:26:07.920]   Mas naquele momento que a gente
[00:26:07.920 --> 00:26:10.070]   faz o SDR, que é a qualificação
[00:26:10.070 --> 00:26:11.990]   do seu lead, todos que chegam
[00:26:11.990 --> 00:26:14.060]   até seu Instagram, seu perfil,
[00:26:14.060 --> 00:26:15.000]   seu WhatsApp,
[00:26:15.000 --> 00:26:17.640]   você vai fazendo uma qualificação
[00:26:17.640 --> 00:26:19.090]   para saber em qual oferta ele
[00:26:19.090 --> 00:26:20.840]   se encaixa, para você não
[00:26:20.840 --> 00:26:22.780]   perder tempo de oferecer algo
[00:26:22.780 --> 00:26:24.570]   de 10 mil reais e não fazer
[00:26:24.570 --> 00:26:26.160]   sentido para a pessoa quando
[00:26:26.160 --> 00:26:27.000]   ela só tem presentes para pagar.
[00:26:27.000 --> 00:26:28.720]   E aí com presentes, o que você
[00:26:28.720 --> 00:26:30.590]   consegue entregar? É isso que
[00:26:30.590 --> 00:26:32.180]   você tem que ir pensando e a
[00:26:32.180 --> 00:26:34.610]   qualificação serve para você
[00:26:34.610 --> 00:26:36.220]   chegar na oferta principal que
[00:26:36.220 --> 00:26:38.180]   você consegue oferecer para ela
[00:26:38.180 --> 00:26:39.000]   entregar.
[00:26:39.000 --> 00:26:40.960]   E aí aqui eu trouxe os três eixos
[00:26:40.960 --> 00:26:43.060]   de um ecossistema, que eu acredito
[00:26:43.060 --> 00:26:45.000]   que esses são suficientes.
[00:26:45.000 --> 00:26:46.500]   Obviamente o curso aqui é o
[00:26:46.500 --> 00:26:48.290]   curso gravado, mas a gente pode
[00:26:48.290 --> 00:26:50.000]   trabalhar um anterior a ele,
[00:26:50.000 --> 00:26:52.350]   que são só as ferramentas, que
[00:26:52.350 --> 00:26:54.520]   aí é um low ticket mesmo, de 50
[00:26:54.520 --> 00:26:57.990]   reais, de 9 reais, ebooks, planilhas,
[00:26:57.990 --> 00:27:00.000]   templates, um notion.
[00:27:00.000 --> 00:27:02.120]   Tudo isso eu entre em ferramentas
[00:27:02.120 --> 00:27:04.090]   que podem vir aqui com uma venda
[00:27:04.090 --> 00:27:05.000]   só deles.
[00:27:05.000 --> 00:27:06.220]   Eu, Carol, não gosto de
[00:27:06.220 --> 00:27:07.860]   trabalhar com low ticket, então
[00:27:07.860 --> 00:27:09.190]   por isso que eu não coloquei
[00:27:09.190 --> 00:27:10.000]   aqui no eixo.
[00:27:10.000 --> 00:27:12.590]   Eu acho que você demora muito
[00:27:12.590 --> 00:27:14.730]   para você converter ao ponto de
[00:27:14.730 --> 00:27:16.000]   te dar lucro.
[00:27:16.000 --> 00:27:17.250]   Então você vai ter que fazer
[00:27:17.250 --> 00:27:18.900]   vários funícios, vários testes,
[00:27:18.900 --> 00:27:20.000]   várias ferramentas.
[00:27:20.000 --> 00:27:22.320]   Então tem uma estatística que a
[00:27:22.320 --> 00:27:24.020]   cada quatro low tickets que
[00:27:24.020 --> 00:27:26.000]   você cria, um dá certo.
[00:27:26.000 --> 00:27:27.130]   Então não adianta falar "ai,
[00:27:27.130 --> 00:27:28.190]   que uma planilha tá linda",
[00:27:28.190 --> 00:27:29.380]   você vai rodar ela, ela não vai
[00:27:29.380 --> 00:27:30.000]   dar certo.
[00:27:30.000 --> 00:27:31.170]   Aí você vai rodar quanto tempo
[00:27:31.170 --> 00:27:32.510]   até você falar "vou criar outro
[00:27:32.510 --> 00:27:33.000]   low ticket".
[00:27:33.000 --> 00:27:34.850]   Então tem pessoas que têm dificuldade
[00:27:34.850 --> 00:27:36.290]   em criar um low ticket, um
[00:27:36.290 --> 00:27:37.500]   produto, imagina, quatro para
[00:27:37.500 --> 00:27:38.000]   um dá certo.
[00:27:38.000 --> 00:27:39.080]   E um dá certo não quer dizer
[00:27:39.080 --> 00:27:40.670]   que ele vai dar lucro, e eles
[00:27:40.670 --> 00:27:42.500]   vão perdendo a eficácia com o
[00:27:42.500 --> 00:27:43.000]   tempo.
[00:27:43.000 --> 00:27:44.160]   Ou seja, esse que está dando
[00:27:44.160 --> 00:27:45.320]   lucro agora não vai dar lucro
[00:27:45.320 --> 00:27:46.000]   para sempre.
[00:27:46.000 --> 00:27:47.190]   Então você tem que ir trocando,
[00:27:47.190 --> 00:27:48.300]   trocando, então você tem que
[00:27:48.300 --> 00:27:49.890]   ser uma criadora de produtos e
[00:27:49.890 --> 00:27:51.000]   ferramentas.
[00:27:51.000 --> 00:27:52.460]   Aí sim você se encaixa dentro
[00:27:52.460 --> 00:27:53.910]   do low ticket, que não é o meu
[00:27:53.910 --> 00:27:55.500]   caso, por isso que eu não trouxe
[00:27:55.500 --> 00:27:56.000]   aqui.
[00:27:56.000 --> 00:27:58.320]   Mas no geral as ferramentas
[00:27:58.320 --> 00:28:00.500]   elas entram aqui, antes de
[00:28:00.500 --> 00:28:03.000]   curso, abaixo de 97 até.
[00:28:03.000 --> 00:28:05.200]   Eu tenho um produto de 97 que é
[00:28:05.200 --> 00:28:07.230]   o meu produto mais barato, que
[00:28:07.230 --> 00:28:08.000]   é o quê?
[00:28:08.000 --> 00:28:11.290]   É um diagnóstico do seu método
[00:28:11.290 --> 00:28:15.000]   e um diagnóstico das suas ferramentas.
[00:28:15.000 --> 00:28:17.730]   E ao final desse diagnóstico eu
[00:28:17.730 --> 00:28:21.000]   ofereço um outro serviço, que é
[00:28:21.000 --> 00:28:23.000]   ou a construção das ferramentas,
[00:28:23.000 --> 00:28:26.000]   ou sprint do método, ou a mentoria.
[00:28:26.000 --> 00:28:28.250]   E aí essa pessoa na oferta tem
[00:28:28.250 --> 00:28:29.000]   o quê?
[00:28:29.000 --> 00:28:32.000]   Cashback de volta dos 97.
[00:28:32.000 --> 00:28:33.590]   Ou seja, ou eu recebo os 97
[00:28:33.590 --> 00:28:35.290]   pela análise que eu fiz, pelo
[00:28:35.290 --> 00:28:37.000]   diagnóstico que eu apliquei,
[00:28:37.000 --> 00:28:39.000]   pela hora que eu encontrei ela.
[00:28:39.000 --> 00:28:41.030]   Ou o mínimo é isso, ou isso
[00:28:41.030 --> 00:28:42.870]   aqui é uma porta de entrada
[00:28:42.870 --> 00:28:45.000]   para os outros produtos.
[00:28:45.000 --> 00:28:46.000]   Entendeu? Por quê?
[00:28:46.000 --> 00:28:47.120]   Para não ficar fazendo sessão
[00:28:47.120 --> 00:28:48.190]   estratégica de graça o tempo
[00:28:48.190 --> 00:28:49.000]   inteiro também.
[00:28:49.000 --> 00:28:51.030]   Então eu criei esse diagnóstico
[00:28:51.030 --> 00:28:52.570]   em que eu cobro e se a pessoa
[00:28:52.570 --> 00:28:54.170]   fechar ela tem um cashback,
[00:28:54.170 --> 00:28:56.610]   esse desconto dos 97 e a gente
[00:28:56.610 --> 00:28:59.000]   volta para a sessão gratuita.
[00:28:59.000 --> 00:29:01.730]   E a origem de tudo, no meu caso,
[00:29:01.730 --> 00:29:03.980]   foram as vendas que eu não
[00:29:03.980 --> 00:29:06.160]   convertia, que as pessoas adoravam,
[00:29:06.160 --> 00:29:08.110]   falavam que foi incrível a
[00:29:08.110 --> 00:29:10.390]   conversa, blá, blá, blá, e não
[00:29:10.390 --> 00:29:11.000]   fechava.
[00:29:11.000 --> 00:29:13.000]   E aí eu falei qual é o problema?
[00:29:13.000 --> 00:29:14.760]   O problema não era o método. O
[00:29:14.760 --> 00:29:16.290]   problema é que a oferta não
[00:29:16.290 --> 00:29:17.640]   estava pronta para aquele
[00:29:17.640 --> 00:29:19.000]   momento da persona.
[00:29:19.000 --> 00:29:21.000]   Então eles têm que se casar.
[00:29:21.000 --> 00:29:22.010]   Não adianta, tem que ser a
[00:29:22.010 --> 00:29:23.210]   pessoa certa no momento certo,
[00:29:23.210 --> 00:29:24.000]   não é verdade?
[00:29:24.000 --> 00:29:25.950]   E é isso. O que eu quero trazer
[00:29:25.950 --> 00:29:27.410]   para vocês é que ninguém tem
[00:29:27.410 --> 00:29:28.980]   essa oferta irresistível com
[00:29:28.980 --> 00:29:30.000]   apenas um produto.
[00:29:30.000 --> 00:29:33.290]   Você pensar sempre em um ecossistema
[00:29:33.290 --> 00:29:35.720]   com eixos diferentes baseado no
[00:29:35.720 --> 00:29:37.000]   mesmo método.
[00:29:37.000 --> 00:29:39.170]   É a forma que eu trabalho e que
[00:29:39.170 --> 00:29:41.710]   eu recomendo. Será mais fácil
[00:29:41.710 --> 00:29:43.600]   de validar e de escalar e de
[00:29:43.600 --> 00:29:46.000]   criar para entregar, né?
[00:29:46.000 --> 00:29:48.320]   Então o ecossistema, ele se
[00:29:48.320 --> 00:29:50.500]   formou por meio dessas vendas
[00:29:50.500 --> 00:29:53.000]   perdidas em sessão estratégica
[00:29:53.000 --> 00:29:54.880]   até o último momento, que é
[00:29:54.880 --> 00:29:57.170]   esse agora, que eu criei esse
[00:29:57.170 --> 00:29:58.000]   InfoService.
[00:29:58.000 --> 00:30:00.320]   E hoje eu tenho um ecossistema
[00:30:00.320 --> 00:30:02.540]   com várias ofertas de acordo
[00:30:02.540 --> 00:30:04.000]   com a conversa.

[00:30:00.000 --> 00:30:05.000]   Incubadora Incubadora Incubadora
[00:30:05.000 --> 00:30:15.800]   Incubadora Incubadora Incubadora
[00:30:15.800 --> 00:30:19.440]   Incubadora
[00:30:30.000 --> 00:30:34.130]   Método é o que você viveu,
[00:30:34.130 --> 00:30:35.990]   então o método começou a virar
[00:30:35.990 --> 00:30:37.820]   outras portas de entrada para
[00:30:37.820 --> 00:30:38.950]   vendas que eu perdi ou para
[00:30:38.950 --> 00:30:39.780]   pessoas que estão chegando
[00:30:39.780 --> 00:30:45.280]   agora, que não te conhecem.
[00:30:45.280 --> 00:30:46.700]   Ou seja, esse aqui foi mais um
[00:30:46.700 --> 00:30:50.730]   erro que eu vi, que eu vi, que
[00:30:50.730 --> 00:30:51.280]   eu vi.
[00:30:51.280 --> 00:30:55.280]   Para que vocês não cometam, eu
[00:30:55.280 --> 00:30:58.710]   falo que eu sempre venho aqui
[00:30:58.710 --> 00:31:01.390]   trazer os meus erros e como eu
[00:31:01.390 --> 00:31:01.900]   ajustei isso, para que o meu aluno,
[00:31:01.900 --> 00:31:02.430]   minha persona, vocês não cometam
[00:31:02.430 --> 00:31:02.880]   as mesmas coisas que eu.
[00:31:02.880 --> 00:31:04.880]   Quanto mais portas de entrada
[00:31:04.880 --> 00:31:06.790]   você tem, a sua persona vai
[00:31:06.790 --> 00:31:08.800]   encontrando uma oferta feita
[00:31:08.800 --> 00:31:10.320]   para o momento dela.
[00:31:10.320 --> 00:31:15.860]   Com isso a gente tem menos vendas
[00:31:15.860 --> 00:31:21.660]   perdidas, obviamente não são
[00:31:21.660 --> 00:31:26.240]   todas high ticket agora, mas eu
[00:31:26.240 --> 00:31:26.240]   trago essa pessoa para o meu ecossistema,
[00:31:26.240 --> 00:31:26.240]   é importante a pessoa vir,
[00:31:26.240 --> 00:31:26.240]   entrar, me conhecer, e depois a
[00:31:26.240 --> 00:31:26.240]   gente vê se ela gostou, ela
[00:31:26.240 --> 00:31:27.150]   continua, se aprofunda, ela
[00:31:27.150 --> 00:31:28.080]   entra ou não.
[00:31:28.080 --> 00:31:29.890]   O mais difícil é fazer entrar,
[00:31:29.890 --> 00:31:31.630]   então quando a gente tem outras
[00:31:31.630 --> 00:31:33.300]   ofertas, a gente consegue ter
[00:31:33.300 --> 00:31:34.710]   isso aqui, e aí você vai
[00:31:34.710 --> 00:31:36.320]   entender que a oferta certa,
[00:31:36.320 --> 00:31:37.860]   ela tem que ser para a persona
[00:31:37.860 --> 00:31:39.470]   certa e no momento certo dessa
[00:31:39.470 --> 00:31:40.400]   persona.
[00:31:40.400 --> 00:31:41.780]   Cada produto responde a uma
[00:31:41.780 --> 00:31:43.690]   trava, não é só variação de
[00:31:43.690 --> 00:31:45.380]   preço, não é só baixar o preço,
[00:31:45.380 --> 00:31:48.160]   é mudar realmente a opção.
[00:31:48.160 --> 00:31:51.640]   Como você conduz, o quanto você
[00:31:51.640 --> 00:31:54.760]   acompanha, o suporte que essa
[00:31:54.760 --> 00:31:57.400]   persona vai ter ao longo da
[00:31:57.400 --> 00:31:58.860]   live. Então aqui, o que nós
[00:31:58.860 --> 00:31:59.510]   conversamos hoje, que a sua
[00:31:59.510 --> 00:32:00.210]   persona, apesar de ser um tipo
[00:32:00.210 --> 00:32:01.140]   de persona só, ela tem momentos
[00:32:01.140 --> 00:32:01.520]   diferentes.
[00:32:01.520 --> 00:32:04.100]   Não existe uma oferta para uma
[00:32:04.100 --> 00:32:05.720]   pessoa apenas, cada oferta
[00:32:05.720 --> 00:32:08.470]   responde a uma oferta, cada oferta
[00:32:08.470 --> 00:32:10.480]   responde a uma oferta.
[00:32:10.480 --> 00:32:13.870]   Cada oferta responde a uma
[00:32:13.870 --> 00:32:18.260]   trava dela, ou antes de entrar,
[00:32:18.260 --> 00:32:22.060]   por achar clara, ou dentro do
[00:32:22.060 --> 00:32:25.030]   seu método, porque ela não tem
[00:32:25.030 --> 00:32:26.760]   clareza suficiente, e talvez
[00:32:26.760 --> 00:32:28.630]   ela está num curso online, o
[00:32:28.630 --> 00:32:29.630]   curso online não tem contato
[00:32:29.630 --> 00:32:31.640]   com você, e aí ela precisa do
[00:32:31.640 --> 00:32:33.360]   seu olhar como mentor.
[00:32:33.360 --> 00:32:35.940]   E o buraco da próxima oferta,
[00:32:35.940 --> 00:32:38.100]   toda venda perdida é uma melhoria
[00:32:38.100 --> 00:32:39.830]   a ser feita, isso é uma
[00:32:39.830 --> 00:32:42.580]   responsabilização que você puxa
[00:32:42.580 --> 00:32:43.760]   para você.
[00:32:43.760 --> 00:32:45.180]   Então, enquanto a gente fica
[00:32:45.180 --> 00:32:47.130]   falando "ai, o Lidia é desqualificado,
[00:32:47.130 --> 00:32:48.480]   Lidia é desqualificado", a
[00:32:48.480 --> 00:32:49.560]   gente está colocando a
[00:32:49.560 --> 00:32:51.120]   responsabilidade para o Lid,
[00:32:51.120 --> 00:32:52.850]   até, às vezes, para o funil,
[00:32:52.850 --> 00:32:54.090]   para o tráfego, para o
[00:32:54.090 --> 00:32:54.800]   comercial.
[00:32:54.800 --> 00:32:56.340]   Mas quando você puxa para você,
[00:32:56.340 --> 00:32:57.710]   você fala "tá, onde eu podia
[00:32:57.710 --> 00:32:59.300]   melhorar? É o meu diagnóstico
[00:32:59.300 --> 00:33:00.640]   que não foi bem feito, a minha
[00:33:00.640 --> 00:33:02.220]   oferta não está pronta para ela,
[00:33:02.220 --> 00:33:03.680]   eu tenho outros produtos, eu
[00:33:03.680 --> 00:33:05.360]   não convenci, eu preciso de
[00:33:05.360 --> 00:33:06.320]   mais provas".
[00:33:06.320 --> 00:33:07.930]   Quando você traz para você o
[00:33:07.930 --> 00:33:09.760]   seu método, o seu ecossistema,
[00:33:09.760 --> 00:33:11.300]   o seu negócio digital, vai
[00:33:11.300 --> 00:33:13.610]   melhorando. Então, todo "não"
[00:33:13.610 --> 00:33:15.750]   que você recebe é algo que você
[00:33:15.750 --> 00:33:17.200]   precisa melhorar.
[00:33:17.200 --> 00:33:19.730]   Isso quer dizer que vai ser 100%
[00:33:19.730 --> 00:33:21.820]   as suas vendas, sua conversão?
[00:33:21.820 --> 00:33:24.200]   Obviamente não, mas é um alerta.
[00:33:24.200 --> 00:33:26.080]   E principalmente se você
[00:33:26.080 --> 00:33:28.360]   consegue analisar e trazer,
[00:33:28.360 --> 00:33:30.510]   quantificar os números das suas
[00:33:30.510 --> 00:33:32.800]   rejeições, dos seus "nãos".
